name,address,adname,pname,type,lat,lon
上海南洋模范中学,零陵路453号(近东安路),徐汇区,上海市,科教文化服务;学校;中学,31.191764578206413,121.44637637030961
上海市第五十四中学,康平路34号,徐汇区,上海市,科教文化服务;学校;中学,31.206660719949323,121.43883370495766
上海市零陵中学,东安路451号,徐汇区,上海市,科教文化服务;学校;中学,31.191118410515408,121.45171017149632
上海市世界外国语中学,虹漕南路602号,徐汇区,上海市,科教文化服务;学校;中学,31.15184372272769,121.41061299440287
上海师大附中附属龙华中学,龙华西路292号,徐汇区,上海市,科教文化服务;学校;中学,31.17657733026714,121.44137487698549
上海市第四中学,天钥桥路100号,徐汇区,上海市,科教文化服务;学校;中学,31.19374774339219,121.43635767850802
上海市龙苑中学,黄石路85号,徐汇区,上海市,科教文化服务;学校;中学,31.15965074508936,121.44958827537657
上海市西南模范中学,汇成一村67号,徐汇区,上海市,科教文化服务;学校;中学,31.148958618365054,121.42989451425319
上海市田林第三中学,钦州路600号,徐汇区,上海市,科教文化服务;学校;中学,31.174943451228966,121.4248242716654
南洋模范初级中学,天平路200号,徐汇区,上海市,科教文化服务;学校;中学,31.202853858721443,121.43237422662979
上海市梅园中学,梅陇路495号,徐汇区,上海市,科教文化服务;学校;中学,31.139128566147885,121.41384663586277
上海市位育初级中学,复兴中路1261号,徐汇区,上海市,科教文化服务;学校;中学,31.213238656401643,121.45217451688092
位育中学,位育路1号(近徐浦大桥),徐汇区,上海市,科教文化服务;学校;中学,31.121656676173696,121.43828488235643
上海市长桥中学,龙临路20号,徐汇区,上海市,科教文化服务;学校;中学,31.13238819045952,121.43433199172884
上海市徐汇区教育学院附属实验中学,上中路50号,徐汇区,上海市,科教文化服务;学校;中学,31.139525226162416,121.4281614530711
上海市第二初级中学,永嘉路388号,徐汇区,上海市,科教文化服务;学校;中学,31.21026214560586,121.45131145586252
上海市紫阳中学,华展路8号,徐汇区,上海市,科教文化服务;学校;中学,31.114688980502148,121.45011551617368
上海市电视高级中学,蒲汇塘路98,徐汇区,上海市,科教文化服务;学校;中学,31.188565476978326,121.42934615771395
上海市西南高级中学,番禺路800弄1-26号,徐汇区,上海市,科教文化服务;学校;中学,31.19925802420404,121.42288645364704
董恒甫高级中学,中漕路36号,徐汇区,上海市,科教文化服务;学校;中学,31.185582858627097,121.42997447981735
大诚中学,华石路75-77-93-95号附近,徐汇区,上海市,科教文化服务;学校;中学,31.179464968868384,121.42628905487236
上海中国中学,桂林东街119号,徐汇区,上海市,科教文化服务;学校;中学,31.15915423668169,121.42188961579109
上海民办南模中学,天钥桥路1118号,徐汇区,上海市,科教文化服务;学校;中学,31.178836788875238,121.44116521113928
上海市位育实验学校,长乐路455号,徐汇区,上海市,科教文化服务;学校;中学,31.21965557021016,121.44899356669863
上海市汾阳中学,龙川北路788号,徐汇区,上海市,科教文化服务;学校;中学,31.15221666285351,121.4317815358598
上海民办位育中学,临江路28号,徐汇区,上海市,科教文化服务;学校;中学,31.15499499851973,121.45395539746649
紫竹园中学,罗秀路99号,徐汇区,上海市,科教文化服务;学校;中学,31.135776983759555,121.44511712193469
上海南洋模范中学(南2门),零陵路453号,徐汇区,上海市,科教文化服务;学校;中学,31.191233573218103,121.44624609496695
上海市西南位育中学西校区,宜山路671号,徐汇区,上海市,科教文化服务;学校;中学,31.17915900474209,121.42001354185507
上海市宛平中学,天钥桥路171弄1号,徐汇区,上海市,科教文化服务;学校;中学,31.193302595420388,121.43845605722237
位育中学,[],徐汇区,上海市,科教文化服务;学校;中学,31.21322159200993,121.45214243168155
上海市田林第三中学,漕东支路101号,徐汇区,上海市,科教文化服务;学校;中学,31.17414334531262,121.43312008892723
西南位育中学,宜山路671号,徐汇区,上海市,科教文化服务;学校;中学,31.179206221788696,121.41923862553722
上海市徐汇中学,华泾镇华发路2号,徐汇区,上海市,科教文化服务;学校;中学,31.129227919694838,121.44959591164029
上海市上海中学-上海中学国际部,百色路989号,徐汇区,上海市,科教文化服务;学校;中学,31.143420661723603,121.43331010064215
上海市徐汇中学(北校区),广元西路187号,徐汇区,上海市,科教文化服务;学校;中学,31.198559415609694,121.42926715912796
上海中国中学(上海出版大楼西),钦州南路85号,徐汇区,上海市,科教文化服务;学校;中学,31.16237943745326,121.42442578817551
南洋模范中学南校区,天钥桥路1118号,徐汇区,上海市,科教文化服务;学校;中学,31.178643048685412,121.44071622640982
