name,address,adname,pname,type,lat,lon
华徐公路蟠中路(公交站),徐泾1路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.184123563369585,121.26983953533063
泗沙路华徐公路(公交站),1503路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20316446153814,121.26305476174873
华徐公路双联路(公交站),1503路;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.19241628088812,121.26514376249256
徐民路华徐公路(公交站),徐泾1路;徐泾2路;徐泾2路(区间),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.178709160476153,121.26999182009303
盈港东路京华路(公交站),706路;706路区间;710路;865路;872路;徐泾4路;青浦20路;青浦25路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.175199483581945,121.27049553473158
华徐公路徐祥路(公交站),1503路;徐泾3路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.199376827024732,121.26226975451677
华徐公路泗沙路(公交站),1503路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20261569554906,121.2598224109713
北青公路林家桥(公交站),880路;880路B线;青泸线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.205694175920485,121.25986012231445
沪青平公路徐泾(公交站),沪朱专线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.167624543531314,121.26919266430087
盈港东路明珠路(公交站),(停运)朱徐线大站车;706路;706路区间;710路;776路/776路高峰定班车;776路区间;865路;872路;徐泾4路;青浦20路;青浦25路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.173472244608696,121.26591561727047
崧泽大道明珠路(公交站),710路;虹桥枢纽6路;青凤徐专线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.184341806354205,121.26145469856735
明珠路崧泽大道(公交站),710路;徐泾3路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.182883113188407,121.26048658267581
明珠路北青公路(公交站),徐泾3路;青凤徐专线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.20183084825519,121.25339434755128
纪秀路秀龙小区(公交站),华新5路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22826021972462,121.24906871674446
凤嵩路北青公路(公交站),华新6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.202496780622443,121.24623250961203
华隆路华徐公路(公交站),773路;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.223915393900857,121.24241596864009
华徐公路凤星路(公交站),773路;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22071302314231,121.24633795182343
崧泽大道徐盈路(公交站),710路;872路;虹桥枢纽6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.181530888729483,121.25354899267204
凤星路华徐公路(公交站),华新6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.219737509847562,121.24511719578254
北青公路凤嵩路(公交站),880路;880路B线;华新6路;青凤徐专线;青泸线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.203734154094366,121.24670532721595
徐盈路崧泽大道(公交站),872路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.1795981594047,121.25256559871711
徐盈路诸陆西路(公交站),872路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.175395930162342,121.25377040609331
徐盈路盈港东路(公交站),872路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.172483018789894,121.25492207032114
前云路漏泥浜桥(公交站),徐泾1路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.144443242066046,121.26854733988002
前云路金云新苑(公交站),徐泾1路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.140997853060018,121.26993408125374
民兴大道民兴路(公交站),华新6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.211055388507127,121.24144802470286
前云路吴泾港桥(公交站),徐泾1路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.15311375298017,121.25994051306664
华隆路新府中路(公交站),773路;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22325618468481,121.23926477120389
盈港东路徐盈路(公交站),徐泾2路;徐泾2路(区间);青浦20路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.169666607458147,121.25104803932047
华徐公路新谊村(公交站),华新5路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.23618641728194,121.23650910381316
华徐公路华腾路(公交站),华新5路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.241430498723325,121.23502821734571
新府中路华雅路(公交站),773路;华新8路定班线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.230005273384137,121.22819794543537
崧泽大道徐乐路(公交站),710路;872路;虹桥枢纽6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.17861553262477,121.24230579746721
徐乐北路凤徐路(公交站),华新7路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.190236178777297,121.23329991284939
徐乐路崧泽大道(公交站),1504路;1505路;1506路;710路;华新8路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.179279023698925,121.2410166834664
徐乐路诸陆西路(公交站),徐泾2路;徐泾2路(区间),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.17403857439432,121.24034506738782
纪鹤公路凌家村(公交站),华新1路;青纪线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.24767934222522,121.23008954111695
崧泽大道乐强路(公交站),872路;徐泾2路;徐泾2路(区间);虹桥枢纽6路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.177922860344236,121.23729222653488
徐乐路盈港东路(公交站),徐泾2路;徐泾2路(区间),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.17122190126159,121.23975823794305
新府中路华农路(公交站),773路;华新8路定班线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.22762860847796,121.22856436956113
华强街新府中路(公交站),华新5路;青纪线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.243943846623203,121.22812772216226
新府中路华志路(公交站),773路;华新8路定班线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.233583184972122,121.2275252189057
凤阁路徐乐北路(公交站),1505路;华新8路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.18944534671826,121.23280377415927
华强街新府北路(公交站),197路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.243951877215775,121.2281817548687
华隆路新凤中路(公交站),华新4路;华新8路定班线;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.223071027287702,121.22744305548103
凤强塘路凤雅路(公交站),1504路;880路B线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.189373201765733,121.22719374230432
盈港东路徐乐路(公交站),青浦20路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.170438042920313,121.23861312987863
华志路新府中路(公交站),华新5路,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.234163902487257,121.22603716716591
新府中路华腾路(公交站),74路;773路;华新5路;华新8路;华新8路定班线;青纪线,青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.240919043052827,121.22636482374928
新府中路华富街(公交站),773路;华新1路;华新2路;白徐线;白徐线跨线定班(赵屯),青浦区,上海市,交通设施服务;公交车站;公交车站相关,31.24484368595393,121.2255469130773
