SLONCOL,SLATCOL,ELONCOL,ELATCOL,VehicleNum
62,20,59,18,42
73,22,75,21,42
62,20,61,22,42
56,18,64,16,42
65,17,77,23,42
74,21,75,23,42
79,23,77,23,42
74,21,75,20,42
76,23,74,21,42
63,17,63,18,42
75,22,73,21,42
64,18,65,16,42
100,59,97,63,42
61,20,63,17,42
74,34,74,19,41
75,22,75,20,41
75,21,72,22,41
12,40,73,21,41
73,20,74,21,41
57,49,56,50,41
74,19,85,26,41
36,18,37,16,41
63,19,62,20,41
75,20,76,23,41
73,23,73,22,41
61,20,59,23,41
63,17,56,17,41
73,22,74,20,41
71,25,74,19,41
76,25,75,21,41
77,22,76,22,41
76,22,65,16,41
73,21,76,21,41
65,17,66,20,41
74,22,73,22,41
77,23,65,16,41
64,19,64,16,41
75,21,12,40,40
74,21,72,22,40
65,17,76,22,40
66,21,67,22,40
72,23,76,22,40
76,24,74,19,40
67,19,68,22,40
76,21,74,22,40
74,19,73,22,40
34,19,35,18,40
73,21,72,23,40
73,23,75,21,39
74,19,72,23,39
67,20,67,21,39
65,18,65,16,39
100,59,99,61,39
58,39,59,37,39
74,19,65,17,39
74,19,78,22,39
34,19,37,16,39
58,16,64,16,39
37,16,35,15,39
59,21,62,20,39
67,19,70,21,39
59,24,61,20,39
12,40,35,18,39
72,21,77,23,39
64,19,62,20,39
65,17,62,18,39
61,20,61,17,39
63,19,61,20,39
59,17,65,16,39
76,23,74,22,38
67,19,74,19,38
74,19,79,26,38
74,19,79,23,38
75,21,71,21,38
74,20,72,23,38
72,23,75,22,38
74,19,71,21,38
65,17,64,18,38
85,26,75,21,38
61,20,59,21,38
59,18,64,16,38
74,22,75,22,38
63,22,62,20,38
76,22,73,22,38
64,20,62,20,38
67,21,64,20,38
70,21,74,22,38
78,22,75,20,38
75,21,76,24,38
77,23,76,25,38
70,21,72,21,38
61,20,64,20,38
63,17,61,20,37
64,20,67,21,37
77,22,75,20,37
58,17,65,16,37
61,18,62,20,37
79,23,75,21,37
72,23,74,22,37
64,20,64,16,37
64,20,66,18,37
74,19,73,20,37
34,19,33,16,37
69,21,68,21,37
74,22,76,25,37
66,20,64,16,37
67,21,66,20,37
79,26,77,23,37
35,17,39,13,37
76,23,75,23,37
72,22,72,24,37
74,22,65,16,37
59,17,62,20,36
64,16,59,17,36
62,20,64,20,36
75,20,77,22,36
72,25,74,21,36
71,21,75,21,36
74,22,72,21,36
73,23,74,20,36
73,27,74,21,36
98,62,101,62,36
75,21,79,23,36
77,23,73,22,36
72,21,76,21,36
64,20,63,18,36
63,18,64,20,36
100,59,99,62,36
63,17,74,19,36
78,22,77,22,36
63,19,63,18,36
74,19,75,27,36
74,19,65,16,36
76,23,65,16,36
60,18,65,16,36
65,17,64,17,36
78,23,75,21,36
73,21,72,22,35
75,22,72,23,35
74,19,12,40,35
76,24,77,23,35
63,17,58,17,35
74,22,75,20,35
61,20,64,16,35
62,20,63,19,35
75,22,72,21,35
76,25,75,23,35
71,21,75,22,35
74,22,72,23,35
74,31,75,29,35
61,20,59,16,35
78,28,74,19,35
63,18,63,19,35
75,21,65,17,35
63,18,63,20,35
56,20,61,20,35
56,50,57,48,35
76,23,74,20,35
72,21,72,22,35
76,36,74,36,35
61,20,55,19,35
72,21,65,16,35
62,20,12,40,35
74,31,75,23,35
76,22,72,21,35
78,23,76,22,35
75,21,73,23,35
67,21,67,22,35
69,21,70,21,34
78,22,75,22,34
62,20,63,22,34
74,23,74,19,34
75,36,74,36,34
77,23,73,21,34
57,18,65,16,34
67,21,70,21,34
73,22,72,24,34
56,20,62,20,34
74,21,72,25,34
100,59,98,62,34
61,21,65,16,34
62,20,63,17,34
63,17,63,16,34
74,19,76,28,34
61,20,58,18,34
64,16,66,18,34
77,25,77,23,34
79,26,75,21,34
73,20,74,20,34
72,23,72,21,34
65,17,64,20,34
60,18,62,20,34
34,19,34,16,34
75,22,72,22,34
72,22,72,25,34
66,20,67,21,34
75,22,73,22,34
47,20,12,40,34
34,18,37,16,34
76,25,75,22,34
75,22,74,22,34
79,23,77,22,34
77,23,76,24,34
64,20,66,21,34
80,23,77,22,34
65,17,67,19,34
74,21,76,23,33
63,18,63,17,33
102,61,102,64,33
75,21,75,25,33
55,19,61,20,33
78,24,74,19,33
66,20,64,20,33
74,19,79,27,33
58,18,61,20,33
67,21,72,21,33
12,40,37,16,33
74,19,77,21,33
61,27,62,27,33
34,19,36,17,33
74,19,68,21,33
62,19,65,16,33
74,21,73,23,33
77,22,79,23,33
34,19,33,20,33
76,21,73,20,33
62,20,63,20,33
74,19,75,25,33
70,25,70,21,33
102,61,101,62,33
73,22,72,23,33
69,21,65,17,33
75,21,70,21,33
61,20,63,16,33
68,21,72,21,33
79,23,75,22,33
78,22,77,23,33
75,23,73,21,33
69,21,75,22,33
72,22,70,21,33
72,22,73,21,33
75,23,74,21,33
62,20,64,19,33
33,16,34,19,33
66,21,64,16,33
64,20,63,20,33
75,22,75,23,33
34,19,37,17,33
75,23,76,21,33
74,36,76,36,32
78,28,76,28,32
65,17,61,19,32
64,20,63,17,32
69,21,72,23,32
75,25,76,23,32
58,16,65,16,32
69,21,74,19,32
76,25,77,23,32
55,19,65,16,32
75,24,74,19,32
72,22,72,21,32
75,26,74,19,32
65,17,71,21,32
74,21,65,16,32
74,20,75,23,32
35,16,39,13,32
59,18,65,16,32
68,21,67,20,32
100,59,98,61,32
68,21,67,21,32
76,22,78,22,32
31,24,39,13,32
78,22,85,26,32
59,37,58,39,32
72,21,77,22,32
71,21,68,21,31
74,22,76,21,31
78,23,77,22,31
73,21,12,40,31
37,16,35,13,31
79,27,74,19,31
74,22,76,23,31
74,22,72,25,31
70,21,74,20,31
63,17,64,17,31
68,22,67,19,31
75,29,76,28,31
61,20,64,19,31
63,17,59,17,31
70,21,67,19,31
68,21,75,22,31
63,19,63,17,31
59,19,61,20,31
59,36,56,37,31
77,23,75,23,31
72,24,74,21,31
68,21,68,19,31
72,23,73,21,31
67,21,66,21,31
62,20,60,17,31
63,20,62,20,31
99,62,100,59,31
72,24,72,22,31
73,21,77,22,31
37,16,36,16,31
66,18,63,18,31
64,16,65,17,31
73,22,72,22,31
76,23,77,23,31
67,20,65,16,31
101,62,102,64,31
68,21,68,20,31
63,18,63,16,31
67,22,66,20,30
78,28,75,21,30
59,18,62,19,30
68,28,74,19,30
74,31,78,29,30
31,26,28,26,30
74,31,75,21,30
75,20,72,21,30
77,23,79,26,30
73,20,74,22,30
68,22,70,21,30
63,22,63,20,30
56,18,55,20,30
63,20,61,20,30
60,18,64,16,30
75,21,64,16,30
75,35,75,33,30
73,22,76,22,30
63,17,60,17,30
61,20,60,24,30
74,20,72,22,30
65,17,70,21,30
61,20,55,20,30
66,19,64,20,30
63,16,63,17,30
74,20,12,40,30
71,21,74,20,30
70,21,76,22,30
61,18,64,16,30
54,20,12,40,30
73,32,74,34,30
65,17,66,19,30
76,22,76,25,30
75,22,71,21,30
72,23,72,22,30
74,19,76,27,30
79,26,75,22,30
34,19,35,17,30
34,19,35,16,30
75,22,76,24,30
66,21,64,20,30
79,27,77,23,30
75,22,74,31,30
60,14,64,16,30
79,23,76,22,30
73,22,73,21,30
56,50,54,47,30
67,20,74,19,30
45,20,47,20,30
73,21,73,22,30
72,24,72,21,30
72,24,75,21,30
77,23,72,21,30
77,22,73,21,30
66,18,63,17,30
57,17,64,16,30
60,17,64,16,29
74,22,70,21,29
12,40,35,17,29
78,23,77,23,29
73,21,65,16,29
76,28,78,28,29
49,19,48,18,29
72,24,74,22,29
74,19,72,21,29
74,19,70,21,29
75,26,75,21,29
21,38,18,35,29
34,9,39,13,29
76,25,74,22,29
67,21,68,20,29
76,23,76,22,29
66,22,67,22,29
76,24,75,21,29
57,49,56,47,29
65,17,58,16,29
37,16,12,40,29
67,21,68,21,29
67,21,69,21,29
57,18,55,20,29
55,20,56,20,29
37,16,33,20,29
78,28,76,29,29
63,17,65,18,29
56,50,56,47,29
65,17,67,21,29
80,23,75,21,29
69,21,77,23,29
12,40,62,20,29
12,40,60,18,29
70,21,67,21,29
70,21,69,23,29
70,21,72,23,29
77,22,74,21,29
100,59,98,63,29
55,19,57,18,29
56,47,57,49,29
71,21,72,21,29
12,40,45,21,29
63,17,64,19,29
66,20,74,19,29
45,21,45,23,29
64,16,58,16,29
75,23,75,20,29
75,22,69,21,29
75,22,78,23,29
66,20,69,21,28
74,22,73,23,28
63,20,63,18,28
77,25,75,22,28
60,19,61,20,28
74,20,69,21,28
76,21,72,22,28
63,17,62,20,28
76,21,76,23,28
75,25,76,25,28
69,21,67,19,28
63,17,62,15,28
71,21,74,22,28
74,31,74,34,28
65,17,56,18,28
78,22,76,22,28
34,16,34,19,28
63,18,74,19,28
71,21,69,21,28
74,22,72,22,28
55,19,59,17,28
74,21,73,27,28
70,25,74,19,28
33,19,37,16,28
34,19,34,17,28
98,63,100,59,28
75,22,76,23,28
98,62,100,59,28
66,20,70,21,28
55,20,57,18,28
74,21,73,20,28
35,10,39,13,28
73,22,72,21,28
76,22,76,23,28
74,19,67,21,28
79,23,74,19,28
75,22,75,24,28
78,30,76,28,28
64,18,64,16,28
77,36,81,36,28
80,23,77,23,28
77,22,77,23,28
12,40,72,22,28
59,37,56,37,28
76,21,75,19,28
73,23,73,21,28
70,21,75,22,28
63,18,60,17,28
76,21,75,23,28
76,28,76,25,28
64,18,64,20,28
61,20,56,17,28
74,19,76,24,28
63,17,61,17,28
63,17,75,21,28
102,64,105,62,28
58,17,63,17,27
61,21,63,20,27
74,20,73,20,27
74,19,78,23,27
75,21,73,27,27
74,19,76,25,27
65,22,67,22,27
37,17,39,13,27
72,23,77,23,27
57,45,57,48,27
76,21,79,23,27
68,22,66,20,27
75,25,75,23,27
60,17,65,16,27
65,17,60,17,27
59,37,58,38,27
64,43,64,41,27
74,34,74,36,27
61,20,57,17,27
64,19,63,18,27
77,23,75,19,27
71,21,70,21,27
74,20,73,22,27
59,23,61,20,27
85,26,73,21,27
78,30,74,19,27
62,17,64,16,27
66,22,67,21,27
65,17,76,23,27
71,21,74,21,27
73,22,75,22,27
29,25,31,26,27
67,21,68,25,27
76,25,76,23,27
75,22,73,27,27
77,22,80,23,27
64,20,65,17,27
63,17,75,20,27
73,36,74,35,27
76,27,76,25,27
55,19,64,16,27
64,16,63,18,27
59,18,74,19,27
12,40,20,39,27
55,43,56,37,27
76,27,76,28,27
68,19,69,21,27
72,22,72,26,27
58,18,62,20,27
65,17,55,19,27
75,21,79,27,27
76,21,78,22,27
12,40,75,20,26
67,21,67,19,26
61,20,56,20,26
67,21,67,20,26
74,36,72,36,26
12,40,75,21,26
28,26,31,26,26
61,16,64,16,26
70,21,71,21,26
75,22,75,25,26
75,26,76,25,26
75,21,85,26,26
86,26,74,19,26
76,23,76,21,26
40,13,35,17,26
77,21,74,19,26
64,19,64,17,26
37,16,33,16,26
63,17,66,20,26
40,13,12,40,26
32,19,37,16,26
74,36,75,36,26
72,21,75,23,26
37,16,34,19,26
76,21,71,21,26
62,20,59,21,26
65,17,79,26,26
75,25,76,24,26
65,17,56,20,26
59,50,57,49,26
80,23,74,19,26
65,17,72,22,26
35,18,37,17,26
76,21,72,23,26
74,36,74,34,26
63,17,62,18,26
72,22,71,23,26
75,25,74,22,26
40,13,32,7,26
76,28,76,27,26
12,40,33,19,26
37,16,33,19,26
75,21,64,17,26
69,21,68,20,26
74,20,79,26,26
65,17,61,20,26
60,16,64,16,26
64,19,61,20,26
63,18,64,17,26
64,16,64,17,26
74,20,71,21,26
48,18,49,19,26
77,23,78,22,26
77,23,78,23,26
12,40,59,18,26
61,21,60,18,26
59,21,55,20,26
75,24,75,21,26
63,16,56,17,26
74,21,70,21,26
64,18,62,20,26
45,21,12,40,26
64,16,56,18,26
43,21,39,13,26
101,62,100,60,26
34,14,39,13,26
59,36,58,39,26
37,16,34,13,25
72,25,73,22,25
55,46,56,50,25
63,17,64,20,25
61,20,75,21,25
79,36,78,37,25
72,22,77,23,25
68,19,70,21,25
75,25,73,21,25
35,16,37,16,25
74,19,71,25,25
68,21,74,22,25
59,17,56,17,25
57,18,56,20,25
61,18,63,17,25
73,21,72,21,25
69,21,66,20,25
71,25,74,20,25
76,22,72,23,25
65,17,67,20,25
75,25,74,21,25
69,21,68,19,25
85,26,75,22,25
65,16,65,17,25
74,33,74,34,25
72,25,77,23,25
35,18,39,13,25
58,38,58,41,25
