linename,stationname,stationgeo
高快巴士136号(世界之窗①-坪山竹坑总站),"['世界之窗①', '深圳软件园西', '坪山光祖公园', '村田厂', '聚龙花园', '兰竹青兰三路', '坪山竹坑总站']","['113.98166401941207,22.54289403110879', '113.94856200036362,22.551046936260025', '114.38268601419671,22.737809017400078', '114.39030795678525,22.731487996531612', '114.39312001235275,22.728558963886794', '114.41072203932332,22.721479039644038', '114.39693799043,22.716808028508787']"
e22路(深圳北站-坑梓公交总站),"['深圳北站', '惠鑫公寓①', '四季花城', '坂田地铁站', '马峦山郊野公园', '深业东城国际', '深业东城上邸', '坪山电子城①', '六联酒店', '坪山行政服务大厅', '青松翠景路口', '坑梓中心幼儿园', '金田购物广场', '坑梓比亚迪', '坑梓公交总站']","['114.03647996907108,22.618098012855466', '114.05175295934669,22.60847796067681', '114.06737197690461,22.629978012998127', '114.07865496359787,22.633272023597492', '114.2994439951588,22.66485199138831', '114.33555596647852,22.684332015330845', '114.34463001992347,22.689401021128205', '114.35164803171786,22.70019303356661', '114.35378402255877,22.70401303099811', '114.37174797681917,22.709806918686873', '114.39119395550945,22.729686983971412', '114.38116401517166,22.73836199058452', '114.37882895982978,22.750348019858592', '114.42049003377447,22.76658794831801', '114.42401498459446,22.76656695376566']"
e22路(坑梓公交总站-深圳北站),"['坑梓公交总站', '坑梓比亚迪', '金田购物广场', '坑梓中心幼儿园', '青松翠景路口', '燕子岭派出所', '六联酒店', '坪山电子城①', '深业东城上邸', '深业东城国际', '碧岭居委', '坂田地铁站', '惠鑫公寓①', '深圳北站']","['114.4240330405352,22.76652096568719', '114.4191280229607,22.766359007546946', '114.38146503734795,22.751217979241922', '114.38101301001548,22.738373989977543', '114.39115496905033,22.72952898172489', '114.37513899028767,22.710495027433428', '114.35314002733888,22.70317202401461', '114.3502379615593,22.698642999071613', '114.34296195642256,22.687981988707413', '114.33585195814398,22.68458101858073', '114.29670299555711,22.675737996759803', '114.08058003230511,22.633512030666125', '114.05243998340048,22.60792203864935', '114.03600503494812,22.618098012855466']"
m153路左环(恒生医院-西乡恒生医院),"['恒生医院', '西乡体育中心', '海湾中学东', '华盛辉大厦', '大益广场', '宝安文具批发市场', '宝安客运中心南', '天骄世家', '宝安新村', '宝安公园西门', '宝安公园', '上合新村', '流塘旧村', '西乡径贝村', '西乡码头', '崛起实验中学', '径贝居委会', '天荟购物中心', '渔业社区', '中英公学', '坪洲新村', '坪洲新村', '宝安一外初中部', '富通城', '碧海公馆', '玉湖湾花园', '西乡恒生医院']","['113.85968095831922,22.581859883645883', '113.86181497288803,22.58414596795074', '113.86453198773262,22.58548499837757', '113.86703799061296,22.585371876635264', '113.87626798989439,22.58522188173176', '113.87931396421662,22.587640967366493', '113.89215003130555,22.59593800944269', '113.89848802582911,22.593898039397114', '113.90296598896433,22.593084962462846', '113.90454700666136,22.591425009155287', '113.90495995770415,22.589656005025525', '113.90416495732809,22.588167023957734', '113.89821404264866,22.58506004054933', '113.89035800164429,22.578343962428562', '113.88557003327769,22.574359992991774', '113.88424997333122,22.573195890718974', '113.88044996136416,22.572632983257364', '113.87656496969589,22.574551965040765', '113.87558096584058,22.573199895388008', '113.87168196060637,22.56843191983774', '113.87029003621912,22.56688497011135', '113.87031204470411,22.566797030151736', '113.87030395995451,22.568253038247363', '113.8662340071818,22.571528019266026', '113.86128901501212,22.575535932261378', '113.85775903368126,22.57838600985858', '113.85905897158433,22.581247040014244']"
m539路(tcl国际e城总站-南山中心区总站),"['tcl国际e城总站', 'tcl国际e城', '留仙洞', '南山福利中心', '深职院西校区', '留仙洞地铁站', '石鼓花园', '西丽派出所', '茶光石鼓路口', '茶光路中', '第二高级中学', '直升机场', '朗山路西', '海普瑞', '科苑北环立交②', '科苑立交南', '科苑北', '深南科苑立交北', '科技园②', '深大北门②', '深圳大学', '桂庙新村', '海雅百货', '佳嘉豪苑', '创业路东', '观海台', '海岸城', '南山中心区总站']","['113.93275101491827,22.576870041635743', '113.93704895762933,22.57413698470476', '113.93639400308223,22.591848028476214', '113.93879202964033,22.58693496719608', '113.94573602106071,22.585795999261446', '113.94963897883918,22.585880006084366', '113.95471000327188,22.582613962843748', '113.95483100502402,22.57583502551856', '113.95392901646177,22.574096020554', '113.94972898905125,22.574124970779945', '113.9447610002605,22.574141990506455', '113.94037798801766,22.562974006662632', '113.94164001742821,22.56233596347183', '113.94718696411995,22.56243600470308', '113.951966039262,22.56052903431716', '113.95184899005409,22.55617398299152', '113.9519339697553,22.551955973933328', '113.95198795791644,22.54788403206852', '113.95057303690814,22.54567603047507', '113.94393500834435,22.545442961555153', '113.93839704470771,22.539746960515767', '113.93580103161528,22.533180037575917', '113.93437299534655,22.523435974515397', '113.9364429607325,22.520502036936026', '113.93996395900825,22.52029396392641', '113.94277197220096,22.52022702661326', '113.94340096571885,22.522404976351293', '113.94441596111425,22.52607298419534']"
m539路(南山中心区总站-tcl国际e城总站),"['南山中心区总站', '海岸城', '观海台', '创业路东', '佳嘉豪苑', '海雅百货', '桂庙新村', '深圳大学', '深大北门②', '深大地铁站', '高科技中心', '深南科苑立交北', '科苑北', '科苑北环立交', '海普瑞', '直升机场', '第二高级中学', '茶光路中', '茶光石鼓路口', '西丽派出所', '石鼓花园', '留仙洞地铁站', '深职院西宿舍区', '深职院西校区', '南山福利中心', 'tcl国际e城', 'tcl国际e城总站']","['113.94442799840807,22.52633195856812', '113.94344498268882,22.522823035235067', '113.94288300276197,22.52090699801799', '113.94034502020546,22.52030598259263', '113.93586301469546,22.52061896831978', '113.93455598017887,22.523481961542746', '113.93624901657297,22.533864033766456', '113.93871504485814,22.539346978934823', '113.9446210442621,22.544947031626215', '113.95000198409565,22.54343202671138', '113.95221603768535,22.54273097137435', '113.95205901388226,22.549331981058735', '113.95198301723613,22.55419691700679', '113.95197798672528,22.55922797375826', '113.94659803502779,22.56248598357259', '113.94074503564893,22.562849018183325', '113.9416160326711,22.57404996715594', '113.94671400626909,22.57394601323282', '113.95059495556258,22.573954022526667', '113.95500599493731,22.575919038485505', '113.95490197115929,22.581562972680025', '113.95307400927764,22.586506009615288', '113.94848402744537,22.586384963581285', '113.94251900936945,22.58670196881781', '113.93961299104564,22.587440004202566', '113.9371430102162,22.574274977904093', '113.93273197084147,22.576902995832395']"
m340路(大浪宝坤工业区-深圳北站枢纽公交场),"['大浪宝坤工业区', '康发科技园', '石凹村路口', '大浪新围新村', '嘉义源科技园', '华荣工业区', '大浪行政中心', '德泰科技园', '龙泉工业区', '大浪劳动者广场', '大浪同富裕工业区', '华科街', '三合华侨新村', '三合村', '大浪石观工业区', '龙华交管所', '羊龙新村', '高峰学校', '龙胜市场', '龙胜公园', '龙胜新村', '上塘派出所南', '旭联工业区', '西头东苑', '民治安监劳动办', '锦绣江南西', '松仔园', '民顺小学', '水榭春天', '南源新村', '高级中学北校区', '龙华绿廊公园', '深圳北站枢纽公交场']","['114.0062609717254,22.703317971190845', '114.00474795575545,22.701083986964136', '114.00347703312035,22.699163041123313', '114.00249796994534,22.69672902040418', '114.00015303324288,22.696495960271115', '113.99797500170409,22.695349992094425', '113.99974403474431,22.689935936559092', '114.00111898115743,22.68689696863628', '113.99964504147715,22.685158967781916', '113.99771898463383,22.683925039499503', '114.00189098491245,22.680586907915778', '114.00407898764239,22.67967789617564', '114.00665200411376,22.6746090269039', '114.00708804160817,22.67117904176658', '114.00675998043603,22.667481010082376', '114.00981898018814,22.664755026955284', '114.0153299946595,22.65893103091767', '114.01751700925335,22.658898013220035', '114.01871597761713,22.65737201985194', '114.02017204101777,22.655449954172372', '114.0213480127605,22.65383203603498', '114.02254302858002,22.652322995642184', '114.02522500950973,22.648962989985332', '114.02713399854835,22.646707013374346', '114.03216397041928,22.645084988469307', '114.03292797925525,22.642470962666152', '114.0316479837345,22.638509968927586', '114.0316569667896,22.63588297416616', '114.03391099497449,22.633019006652532', '114.03514598538919,22.630403998054305', '114.03575701279688,22.62597203690597', '114.0365839928491,22.622285950881174', '114.03603099597733,22.6181070203884']"
m340路(深圳北站枢纽公交场-大浪宝坤工业区),"['深圳北站枢纽公交场', '龙华绿廊公园', '高级中学北校区', '南源新村', '水榭春天', '民顺小学', '松仔园', '锦绣江南西②', '民治安监劳动办', '西头东苑', '旭联工业区', '上塘派出所南', '龙胜新村', '龙胜公园', '龙胜市场', '羊龙新村', '龙华交管所', '大浪石观工业区', '三合村', '三合华侨新村', '华科街', '大浪同富裕工业区', '大浪商业中心', '大浪劳动者广场', '龙泉工业区', '德泰科技园', '大浪行政中心', '华荣工业区', '嘉义源科技园', '大浪新围新村', '康发科技园', '大浪宝坤工业区']","['114.03656503860284,22.617940964754787', '114.03746603902904,22.620958041378003', '114.03620904012935,22.624443922103456', '114.03542697535262,22.629982015996248', '114.03454196476449,22.63206297528667', '114.03306003016517,22.634540020008572', '114.03172595665274,22.638463020035342', '114.03323097770367,22.643041002697053', '114.03274598255898,22.64499192908069', '114.02724799351753,22.646719020889293', '114.02551399439218,22.648707000438925', '114.02300296100098,22.65185897360506', '114.02114400757925,22.65420599996526', '114.02033598177329,22.65531896388846', '114.01877697256124,22.65736593318683', '114.01552097441085,22.65916298835485', '114.0109479705527,22.66374902729444', '114.00669503294768,22.6679879988831', '114.00740397565592,22.671323022518873', '114.0071749975815,22.674324990547127', '114.00450298784295,22.679046903058648', '114.00126495580275,22.6804520237636', '113.99910003952442,22.681123025243018', '113.99785498808801,22.683853014153392', '113.99967899742542,22.68505801649809', '114.00147102708667,22.686513008161555', '113.99975104152729,22.69027604064354', '113.99808001361819,22.69502798896251', '113.99949897700128,22.69632800001954', '114.00222102235671,22.696602987935666', '114.00481703544914,22.70102097277112', '114.00630400055933,22.703374983066183']"
8路(火车站西广场-六约新村总站),"['火车站西广场', '渔民村', '穿孔桥', '金威大厦', '都市名苑', '蔡屋围新七坊', '骨科医院', '新闻大厦', '市总工会', '荔园小学', '计生中心', '劳动就业大厦', '八卦路', '八卦岭社康中心', '友谊医院', '红岭泥岗立交', '红岗西村', '武警医院①', '清水河', '清水河仓库', '青湖山庄', '章輋村', '粤宝', '宝丽路口', '深圳东站①', '龙珠花园', '大芬地铁站①', '丹竹头地铁站', '金银坑', '振业城西', '深坑工业区', '六约新村', '六约新村总站']","['114.1234799593782,22.535698939268343', '114.12257303013561,22.540467892434723', '114.12213699264122,22.543772998163526', '114.12034999349082,22.54528699792022', '114.11736303784058,22.544911900058587', '114.11548998102234,22.544122981190842', '114.11389099721511,22.54482803487839', '114.10933200692291,22.547085033350292', '114.10287804115806,22.54861293177823', '114.10279198349023,22.552029988391787', '114.102707003789,22.558387905743093', '114.10329099220087,22.56481294273734', '114.10619296814988,22.56625996106458', '114.10669098872445,22.568099937446007', '114.10927801876178,22.56815800730698', '114.11086801951392,22.56926800460542', '114.11061703295452,22.577127000730076', '114.11068395671498,22.579775987138333', '114.11188301490931,22.583109004932403', '114.1128000051736,22.585807928733995', '114.11338803596024,22.590053920341525', '114.11848097904736,22.594107918732245', '114.1216249585007,22.599717983520655', '114.12307203884625,22.60284998974483', '114.1278639597571,22.606965997585093', '114.13165498866906,22.610286005247925', '114.14496302547278,22.62030692562885', '114.15406303994693,22.62564002805052', '114.17070396985268,22.634338042023835', '114.18360803866871,22.640897002671444', '114.18356402169873,22.64523791926154', '114.17743299676461,22.64811397003262', '114.17475299210703,22.646628964501303']"
8路(六约新村总站-火车站西广场),"['六约新村总站', '六约新村', '深坑工业区', '振业城西', '深坑居民小组', '金银坑', '丹竹头地铁站', '大芬地铁站①', '龙珠花园②', '宝丽路口', '粤宝', '章輋村', '青湖山庄', '清水河仓库', '清水河', '武警医院②', '红岗西村', '红岭泥岗立交', '友谊医院', '八卦路', '劳动就业大厦', '计生中心', '荔园小学', '市总工会', '新闻大厦', '红岭南路①', '鹿丹村', '金威大厦', '穿孔桥', '渔民村', '火车站西广场']","['114.17480203958785,22.646917978586515', '114.17765397991998,22.647747994266737', '114.18342604197245,22.645671027669675', '114.18348901318868,22.641217966908226', '114.18258199411554,22.63941692160762', '114.17032901713294,22.634484980620535', '114.15409600775914,22.625915909869313', '114.14482998642679,22.62051601360594', '114.1315530309937,22.610635984250223', '114.12279500142706,22.60254102972818', '114.1212449752701,22.59911289443079', '114.11891000975879,22.594692008882646', '114.11341696139763,22.590261970360284', '114.11273397971863,22.58594499245899', '114.11215897436189,22.5841770016378', '114.11034897859042,22.580004992897763', '114.1102860073742,22.57637597801519', '114.1106899753619,22.569092962035974', '114.10946899851314,22.568241941573813', '114.10611301895952,22.566102018797363', '114.10295098356545,22.564895877835905', '114.10254701557776,22.55900502414992', '114.10239403414944,22.553364911943824', '114.10270898006114,22.54957597463824', '114.10803997410834,22.54687691740684', '114.11109897386046,22.546004896469295', '114.1136729784679,22.54153188385219', '114.12066601736912,22.54522900176651', '114.12192795694912,22.5443190013354', '114.12253000130171,22.540038037549397', '114.12331601862267,22.535581937343277']"
m398路(深圳湾口岸公交总站-坂田互联e时代总站),"['深圳湾口岸公交总站', '后海滨路口', '北师大附中', '南门一坊', '南油大厦②', '南山邮局', '海雅百货', '桂庙新村', '深圳大学', '深大北门②', '科技园②', '大冲②', '白石洲①', '世界之窗①', '何香凝美术馆', '锦绣中华①', '侨城东地铁站', '园博园②', '深圳风湿病医院', '东海花园', '农园路', '香域中央花园', '翠海花园', '金地网球中心', '枫丹雅苑', '特发小区', '福田外语学校西', '北环香梅北天桥', '深圳石油大厦', '广中医深圳医院', '北环新洲立交', '北环中学', '彩田村北', '彩田学校', '福田党校', '民乐地铁站②', '惠鑫公寓①', '横岭', '横岭二区', '沙元埔', '东边', '沙吓', '万众城家居广场', '梅花山庄', '大发埔油站', '坂田医院', '坂田地铁站', '高力特', '坂田互联e时代总站']","['113.95556303418387,22.509127999343814', '113.94612103480216,22.510781024951108', '113.94111396972175,22.5106929653656', '113.93435799364454,22.5106260233489', '113.93226503163754,22.515442008772993', '113.93315902528077,22.517854987434347', '113.93479897181925,22.52420197782661', '113.93633498441025,22.53399998135653', '113.9387059719725,22.539491015833647', '113.94475596974965,22.5449240000057', '113.95340198061923,22.545327970727612', '113.9616799557215,22.54588297998791', '113.97528497232672,22.54464403198898', '113.97974999986258,22.54301703509888', '113.9877539917844,22.539991972647357', '113.9946800170946,22.539536997453574', '114.00168203905089,22.53880295870866', '114.00953799022473,22.538385032202466', '114.0265069813026,22.54308396123958', '114.02941299962642,22.544097028736793', '114.027521976698,22.550313960770286', '114.02430999551757,22.554674038871863', '114.02137702802847,22.557686009427883', '114.02529804174767,22.55866701115541', '114.02909401133994,22.558675021347153', '114.03616798756757,22.55882104038495', '114.03964398073728,22.560774009122703', '114.03761902045736,22.563844000065497', '114.04308502982265,22.564662007403314', '114.04657000604747,22.565233041031945', '114.05629398352868,22.567155965000033', '114.06184102005095,22.567469010148997', '114.06432501444633,22.567332011267702', '114.0686420012342,22.568233014174133', '114.07274195741094,22.577605961176808', '114.05738102302594,22.601451990122065', '114.05240000880531,22.607925041385084', '114.05227900705314,22.613338032042556', '114.0498669669291,22.618366987540067', '114.04728002672232,22.62426803309388', '114.04550596317124,22.629789037993856', '114.04393797090411,22.635996971215846', '114.04859999683825,22.636155999859056', '114.05266096655586,22.635675994640458', '114.06252903224082,22.63346599737659', '114.07317404236109,22.632470023308738', '114.07854501100347,22.633270022146906', '114.08646402322407,22.630785031715526', '114.0894729873593,22.628655015655745']"
